Serial No.	Week No.	Sample ID	Sample type	Species (English)	Age	Sex	EURING code	Location	Bird ring number	Location type	Collection date	Arrival date	Pool ID	Indiv. ID	Alliquote date	Taqman date	MA	MA-Ct	H5	H5-Ct	H7	H7-Ct	Virus isolation	E1	E2	Virus pathotype	HA subtype	NA subtype	Remarks	LAT-Y	LONG-X	Health
GEORGIA2010_00011	8	217-11	cloacal swab	Water Pipit	A		1Ø14Ø	Kumisi Lake		area not under restriction	2009/10/16	2010/02/18	1515		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.5849	44.8636	live without clinical signs
GEORGIA2010_00012	8	217-12	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/05	2010/02/18	1515		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00013	8	217-13	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/05	2010/02/18	1515		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00014	8	217-14	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/11	2010/02/18	1515		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00015	8	217-15	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/12	2010/02/18	1515		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00016	8	217-16	cloacal swab	Common Snipe	A		Ø519Ø	Natanebi		area not under restriction	2009/09/12	2010/02/18	1516		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00017	8	217-17	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/12	2010/02/18	1516		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00018	8	217-18	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/12	2010/02/18	1516		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00019	8	217-19	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/13	2010/02/18	1516		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00020	8	217-20	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/13	2010/02/18	1516		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00021	8	217-21	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/13	2010/02/18	1517		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00022	8	217-22	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/13	2010/02/18	1517		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00023	8	217-23	cloacal swab	Spotted Crake	A		Ø4Ø8Ø	Natanebi		area not under restriction	2009/09/13	2010/02/18	1517		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00024	8	217-24	cloacal swab	Water Rail	A		Ø4Ø7Ø	Natanebi		area not under restriction	2009/09/13	2010/02/18	1517		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00025	8	217-25	cloacal swab	Common Snipe	A		Ø519Ø	Natanebi		area not under restriction	2009/09/13	2010/02/18	1517		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00026	8	217-26					#N/A			area not under restriction		2010/02/18	1518		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		#N/A	#N/A	#N/A
GEORGIA2010_00027	8	217-27	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/09/25	2010/02/18	1518		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00028	8	217-28	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/09/25	2010/02/18	1518		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00029	8	217-29	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/04	2010/02/18	1518		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00030	8	217-30	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/04	2010/02/18	1518		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00031	8	217-31	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/04	2010/02/18	1519		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00032	8	217-32	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/04	2010/02/18	1519		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00033	8	217-33	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1519		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00034	8	217-34	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1519		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00035	8	217-35	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1519		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00036	8	217-36	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1521		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00037	8	217-37	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1521		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00038	8	217-38	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1521		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00039	8	217-39	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1521		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00040	8	217-40	cloacal swab	Jack Snipe			Ø52ØØ	Natanebi		area not under restriction	2009/10/06	2010/02/18	1521		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00041	8	217-41	cloacal swab	Mallard	A		Ø186Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1522		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00042	8	217-42	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1522		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00043	8	217-43	cloacal swab	Water Rail			Ø4Ø7Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1522		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00044	8	217-44	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1522		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00045	8	217-45	cloacal swab	Common Snipe			Ø519Ø	Natanebi		area not under restriction	2009/10/06	2010/02/18	1522		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00046	8	217-46	cloacal swab	Water Rail			Ø4Ø7Ø	Natanebi		area not under restriction	2009/11/01	2010/02/18	1523		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.7741	41.9033	live without clinical signs
GEORGIA2010_00047	8	217-47	tracheal or oropharyngeal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1523		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00048	8	217-48	cloacal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1523		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00049	8	217-49	tracheal or oropharyngeal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1523		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00050	8	217-50	cloacal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1523		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00051	8	217-51	tracheal or oropharyngeal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1524		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00052	8	217-52	cloacal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1524		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00053	8	217-53	tracheal or oropharyngeal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1524		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00054	8	217-54	cloacal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1524		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00055	8	217-55	tracheal or oropharyngeal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1524		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00056	8	217-56	cloacal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1525		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00057	8	217-57	tracheal or oropharyngeal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1525		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00058	8	217-58	cloacal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1525		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00059	8	217-59	tracheal or oropharyngeal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1525		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00060	8	217-60	cloacal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1525		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00061	8	217-61	tracheal or oropharyngeal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1526		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00062	8	217-62	cloacal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1526		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00063	8	217-63	tracheal or oropharyngeal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1526		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00064	8	217-64	cloacal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1526		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00065	8	217-65	tracheal or oropharyngeal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1526		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00066	8	217-66	cloacal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1527		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00067	8	217-67	tracheal or oropharyngeal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1527		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00068	8	217-68	cloacal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1527		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00069	8	217-69	tracheal or oropharyngeal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1527		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00070	8	217-70	cloacal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1527		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00071	8	217-71	tracheal or oropharyngeal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1529	1786	2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00072	8	217-72	cloacal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1529	1787	2010/02/22	2010-02-22	p	26.80	n		n		negative	0		LPAI	H unidentifiable	N unidentifiable		042.2247	41.9194	live without clinical signs
GEORGIA2010_00073	8	217-73	tracheal or oropharyngeal swab	Common Teal	A	M	Ø184Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1529	1788	2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00074	8	217-74	cloacal swab	Common Teal	A	M	Ø184Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1529	1789	2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00075	8	217-75	tracheal or oropharyngeal swab	Common Teal	A	M	Ø184Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1529	1790	2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00076	8	217-76	cloacal swab	Common Teal	A	M	Ø184Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1530		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00077	8	217-77	tracheal or oropharyngeal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1530		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00078	8	217-78	cloacal swab	Mallard	A	M	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1530		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00079	8	217-79	tracheal or oropharyngeal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1530		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00080	8	217-80	cloacal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1530		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00081	8	217-81	tracheal or oropharyngeal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1531		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00082	8	217-82	cloacal swab	Mallard	A	F	Ø186Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1531		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00083	8	217-83	tracheal or oropharyngeal swab	Common Teal	A	F	Ø184Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1531		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00084	8	217-84	cloacal swab	Common Teal	A	F	Ø184Ø	Paliastomi Lake		area not under restriction	2010-01-31	2010/02/18	1531		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		042.2247	41.9194	live without clinical signs
GEORGIA2010_00085	8	217-253	cloacal swab	Armenian Gull	A		Ø6ØØ9	Pumping station		area not under restriction	2009/11/08	2010/02/18	1531		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6833	44.8280	live without clinical signs
GEORGIA2010_00086	8	217-254	cloacal swab	Armenian Gull	A		Ø6ØØ9	Pumping station		area not under restriction	2009/11/08	2010/02/18	1532		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6833	44.8280	live without clinical signs
GEORGIA2010_00087	8	217-255	cloacal swab	Armenian Gull	A		Ø6ØØ9	Pumping station		area not under restriction	2009/11/08	2010/02/18	1532		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6833	44.8280	live without clinical signs
GEORGIA2010_00088	8	217-256	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/11/09	2010/02/18	1532		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00089	8	217-257	cloacal swab	Armenian Gull	A		Ø6ØØ9	Pumping station		area not under restriction	2009/11/08	2010/02/18	1532		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6833	44.8280	live without clinical signs
GEORGIA2010_00090	8	217-258	cloacal swab	Armenian Gull	A		Ø6ØØ9	Pumping station		area not under restriction	2009/11/08	2010/02/18	1532		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6833	44.8280	live without clinical signs
GEORGIA2010_00091	8	217-259	cloacal swab	Armenian Gull	A		Ø6ØØ9	Pumping station		area not under restriction	2009/11/08	2010/02/18	1533		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6833	44.8280	live without clinical signs
GEORGIA2010_00092	8	217-260	cloacal swab	Armenian Gull	A		Ø6ØØ9	Pumping station		area not under restriction	2009/11/08	2010/02/18	1533		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6833	44.8280	live without clinical signs
GEORGIA2010_00093	8	217-261	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/11/09	2010/02/18	1533		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00094	8	217-262	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/11/09	2010/02/18	1533		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00095	8	217-263	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/11/09	2010/02/18	1533		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00096	8	217-264	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/11/09	2010/02/18	1534		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00097	8	217-265	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/11/09	2010/02/18	1534		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00098	8	217-266	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/11/09	2010/02/18	1534		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00099	8	217-267	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/11/09	2010/02/18	1534		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00100	8	217-268	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/11/09	2010/02/18	1534		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
